"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"474","location.AY795965_Hs_2002.3",829.093608649126,159.875974055555,43.7400181188163,43.7208896285478,43.7598886981315,5.1866,10000,5.5
"475","location.AY795965_Hs_2002.4",845.429953706055,162.969252100774,-84.6300023120414,-84.6499338675361,-84.61126389604,5.1866,10000,5.5
"476","location.DQ005530_Hs_2003.1",838.795192409364,161.77108552011,1.53551045521723,-1.39842324112851,4.5457672827085,5.1866,10000,5.5
"477","location.DQ005530_Hs_2003.2",831.010792989822,160.191575314428,-7.6253239853753,-14.1364648084751,-1.02496488817227,5.1866,10000,5.5
"478","location.DQ005530_Hs_2003.3",869.369632264114,167.6564988644,39.50012621922,39.4807017501723,39.5195484389017,5.1866,10000,5.5
"479","location.DQ005530_Hs_2003.4",836.168427242153,161.193023243074,-111.550207902283,-111.569327624552,-111.53137578663,5.1866,10000,5.5
"480","location.DQ080051_Ct_2003.1",860.003894706836,165.817563354771,-3.85087031809485,-5.87367374970429,-1.86507369340712,5.1866,10000,5.5
"481","location.DQ080051_Ct_2003.2",873.462238360947,168.422289233108,-2.68138386520908,-7.34768472140224,1.68444273345198,5.1866,10000,5.5
"482","location.DQ080051_Ct_2003.3",824.489865948897,159.04124367761,31.7502593908174,31.7313979765038,31.7694170933727,5.1866,10000,5.5
"483","location.DQ080051_Ct_2003.4",856.000741486187,165.051697585444,-110.02010635745,-110.03990458465,-110.000974244357,5.1866,10000,5.5
"484","location.DQ080052_Ct_2003.1",837.384142008687,161.352225933364,-2.03781933225499,-4.05652544856724,-0.0236640242969824,5.1866,10000,5.5
"485","location.DQ080052_Ct_2003.2",872.914182768953,168.309814826915,-7.4268878716799,-12.0213380579867,-2.97000505354719,5.1866,10000,5.5
"486","location.DQ080052_Ct_2003.3",840.842389483799,162.153876433578,33.3802338878004,33.3614488928234,33.3997381328592,5.1866,10000,5.5
"487","location.DQ080052_Ct_2003.4",846.459150908449,163.269495221462,-112.569795286885,-112.589024154212,-112.550788562048,5.1866,10000,5.5
"488","location.DQ080053_Ct_2003.1",862.277911488356,166.305776308668,1.91851294635415,-0.18672906864355,4.0534039926015,5.1866,10000,5.5
