"","parameter","ess","esspersec","mean","HMDmin","HMDmax","time","nitetations","irep"
"212","anc_VelocLon.81",6.91830896995949,0.000674265538037968,-0.459229561989112,-7.85384,7.38522,10260.511,5e+07,1
"213","anc_VelocLon.82",6.86148057712126,0.000668726984174692,-3.87610286077383,-9.39772,2.26152,10260.511,5e+07,1
"214","anc_VelocLon.83",65.338607570091,0.00636796818112577,-0.987396963316485,-7.53021,5.66079,10260.511,5e+07,1
"215","anc_VelocLon.84",87.2102536464632,0.00849960139864995,1.07699757392757,-4.74004,7.37489,10260.511,5e+07,1
"216","anc_VelocLon.85",190.316130196343,0.0185484066238361,-0.905465631214397,-4.95525,3.10178,10260.511,5e+07,1
"217","anc_VelocLon.86",446.053198198785,0.043472805418637,-2.90313856112864,-7.23557,1.20596,10260.511,5e+07,1
"218","anc_VelocLon.87",13.5226620187963,0.00131793260772259,-17.7171512752722,-23.9139,-11.2699,10260.511,5e+07,1
"219","anc_VelocLon.88",95.8617576353808,0.00934278591342875,-2.33007159591424,-8.07172,3.22847,10260.511,5e+07,1
"220","anc_VelocLon.89",13.5232681357777,0.00131799168050965,-17.735548347034,-24.1731,-11.5601,10260.511,5e+07,1
"221","anc_VelocLon.9",33.9088899766509,0.0033047954411482,-2.91759126686114,-7.99503,2.49262,10260.511,5e+07,1
"222","anc_VelocLon.90",1932.52877248347,0.188346250248498,1.34437455640747,-2.97327,5.82534,10260.511,5e+07,1
"223","anc_VelocLon.91",400.785941995659,0.039061011873157,-1.37017797646501,-5.40506,2.38863,10260.511,5e+07,1
"224","anc_VelocLon.92",615.669167972828,0.0600037530268061,-1.7708309627194,-8.98635,5.49684,10260.511,5e+07,1
"225","anc_VelocLon.93",130.7547760294,0.0127434955266263,-3.00280930641857,-7.72384,2.29377,10260.511,5e+07,1
"226","anc_VelocLon.94",61.120424944152,0.00595685974549923,-3.13437497081093,-8.52095,1.97841,10260.511,5e+07,1
"227","anc_VelocLon.95",35.8991572337178,0.00349876894374148,2.28164809780715,-5.79378,9.14255,10260.511,5e+07,1
"228","anc_VelocLon.96",7.4937486847051,0.000730348487000804,-3.48540443721395,-9.79491,1.94568,10260.511,5e+07,1
"229","anc_VelocLon.97",5.91795585706157,0.000576770090404033,-6.66130145447545,-12.7022,0.514558,10260.511,5e+07,1
"230","anc_VelocLon.98",1036.12817493662,0.100982122131794,-2.85892835696956,-6.53119,1.00056,10260.511,5e+07,1
"231","anc_VelocLon.99",20.0063569026163,0.00194984020801852,-5.13765906101311,-11.4943,0.192241,10260.511,5e+07,1
"232","AY289214_Hs_2002.62_VelocLat",2765.22972716702,0.269502145377264,-3.84681167001333,-8.3613,0.35166,10260.511,5e+07,1
"233","AY289214_Hs_2002.62_VelocLon",3361.53992237916,0.327619152923198,-7.03095888531437,-15.4933,1.13672,10260.511,5e+07,1
"234","AY646354_Hs_2002_VelocLat",335.600581429451,0.0327079793033165,2.95799667313508,-0.395328,6.55487,10260.511,5e+07,1
"235","AY646354_Hs_2002_VelocLon",362.590543460275,0.0353384488803993,4.54876480762342,-1.83088,10.8325,10260.511,5e+07,1
"236","AY712945_Zm_2003_VelocLat",90.9264753791792,0.00886178820715452,-3.70493797133304,-6.98425,0.674533,10260.511,5e+07,1
"237","AY712945_Zm_2003_VelocLon",61.8977508904305,0.00603261873511275,-1.18560868587647,-8.99668,6.49817,10260.511,5e+07,1
"238","AY712946_Cc_2003_VelocLat",91.2285272494038,0.00889122649441181,-3.69948012963764,-6.97431,0.638166,10260.511,5e+07,1
"239","AY712946_Cc_2003_VelocLon",61.5562782658234,0.00599933846041619,-1.17937644447678,-8.86646,6.59185,10260.511,5e+07,1
"240","AY712947_Cc_2003_VelocLat",1834.75716866922,0.178817328753823,-3.56763207535881,-7.7336,0.739662,10260.511,5e+07,1
"241","AY712947_Cc_2003_VelocLon",1641.12333164104,0.159945574995342,-3.2101787433417,-11.1376,4.96875,10260.511,5e+07,1
"242","AY712948_Cq_2003_VelocLat",124.828097994977,0.0121658753638076,-4.38271651164186,-8.53953,-0.222178,10260.511,5e+07,1
"243","AY712948_Cq_2003_VelocLon",379.277364487488,0.0369647636932983,-5.75516191960898,-13.3352,1.25044,10260.511,5e+07,1
"244","AY795965_Hs_2002_VelocLat",333.466514392203,0.0324999909256179,3.4743949301333,-0.148108,7.29725,10260.511,5e+07,1
"245","AY795965_Hs_2002_VelocLon",606.503055337761,0.0591104142218414,-3.11168192789736,-10.1829,3.37401,10260.511,5e+07,1
"246","clockRate",33.4964069954499,0.00326459442375238,0.000600760801821817,0.000525691,0.00067371,10260.511,5e+07,1
"247","displacement",43.4113479475533,0.00423091480994984,449.413147078427,383.563,517.39,10260.511,5e+07,1
"248","DQ005530_Hs_2003_VelocLat",888.410630570052,0.0865854176824188,1.60961685632926,-2.32742,5.46249,10260.511,5e+07,1
"249","DQ005530_Hs_2003_VelocLon",558.261043203386,0.0544086978907177,-12.5354990266274,-20.7724,-5.47359,10260.511,5e+07,1
"250","DQ080051_Ct_2003_VelocLat",253.281435369816,0.0246850703020362,-4.76503783859809,-7.88428,-1.51427,10260.511,5e+07,1
"251","DQ080051_Ct_2003_VelocLon",97.238654028848,0.00947697965811333,-7.48700079629194,-14.2648,-0.96472,10260.511,5e+07,1
"252","DQ080052_Ct_2003_VelocLat",274.229053032596,0.0267266467559556,-2.15132106114308,-5.1848,1.00859,10260.511,5e+07,1
"253","DQ080052_Ct_2003_VelocLon",91.8971423933263,0.00895639041694183,-12.1866751499667,-18.6942,-5.53749,10260.511,5e+07,1
"254","DQ080053_Ct_2003_VelocLat",153.403459834572,0.0149508596437908,1.68151305055454,-1.5532,4.99805,10260.511,5e+07,1
"255","DQ080053_Ct_2003_VelocLon",102.894428166678,0.0100281972473571,-7.02012176628349,-13.5709,-0.0851456,10260.511,5e+07,1
"256","DQ080054_Cq_2003_VelocLat",588.574278744057,0.0573630571366335,-0.368886619421462,-3.11095,2.6356,10260.511,5e+07,1
"257","DQ080054_Cq_2003_VelocLon",146.451105727572,0.0142732760315322,-15.3602110486559,-21.3042,-9.49742,10260.511,5e+07,1
"258","DQ080055_Ct_2003_VelocLat",1026.24542697769,0.100018939307964,-2.39295854498334,-4.94504,0.539811,10260.511,5e+07,1
"259","DQ080055_Ct_2003_VelocLon",382.058562439565,0.0372358221183687,-10.087886282515,-15.9358,-4.53788,10260.511,5e+07,1
"260","DQ080056_Ct_2003_VelocLat",838.593497396959,0.0817301884279407,-2.80493324803999,-5.61099,0.0315663,10260.511,5e+07,1
"261","DQ080056_Ct_2003_VelocLon",393.719339992935,0.0383722935429761,-10.5668756627416,-16.2929,-4.64693,10260.511,5e+07,1
"262","DQ080057_Cb_2003_VelocLat",931.995156166797,0.0908332105649316,-1.55059912907621,-4.12929,1.04861,10260.511,5e+07,1
"263","DQ080057_Cb_2003_VelocLon",328.508804710193,0.0320168074192594,-13.4217663141524,-18.6762,-7.78506,10260.511,5e+07,1
"264","DQ080058_Cb_2003_VelocLat",916.927191035451,0.0893646711197377,-1.58433280763608,-4.19599,0.958834,10260.511,5e+07,1
"265","DQ080058_Cb_2003_VelocLon",350.881213001973,0.0341972454395276,-13.4363489780049,-18.9101,-8.31675,10260.511,5e+07,1
"266","DQ080059_Pn_2003_VelocLat",368.302967133323,0.035895187591858,4.61633049653188,1.29942,7.64528,10260.511,5e+07,1
"267","DQ080059_Pn_2003_VelocLon",194.810547075272,0.0189864371350776,-18.2224695845368,-24.7519,-12.4932,10260.511,5e+07,1
"268","DQ080060_Cc_2004_VelocLat",2794.35929173204,0.272341142827296,-2.88760377069518,-6.22476,0.490873,10260.511,5e+07,1
"269","DQ080060_Cc_2004_VelocLon",1005.39350745656,0.0979866896937745,-2.44140144954543,-9.21449,3.46246,10260.511,5e+07,1
"270","DQ080061_Ccs_2004_VelocLat",31.4277442629252,0.00306298041714737,-4.1589634196443,-8.63316,0.810475,10260.511,5e+07,1
"271","DQ080061_Ccs_2004_VelocLon",42.1373958743885,0.00410675412505171,-3.17302647909665,-11.5266,5.95839,10260.511,5e+07,1
"272","DQ080062_Cx_2002_VelocLat",1727.42632360783,0.168356753733594,-2.22340057007332,-5.85693,1.69496,10260.511,5e+07,1
"273","DQ080062_Cx_2002_VelocLon",1246.09835801087,0.121446033049511,-8.69734811919573,-15.8016,-1.09886,10260.511,5e+07,1
"274","DQ080063_Cl_2003_VelocLat",4.9194784417012,0.000479457450189489,-1.40373096853832,-3.80076,0.822393,10260.511,5e+07,1
"275","DQ080063_Cl_2003_VelocLon",13.7925855357113,0.00134423963248139,-17.7064779960009,-24.3588,-11.5499,10260.511,5e+07,1
"276","DQ080064_Fa_2003_VelocLat",4.84085222880843,0.00047179445826903,-1.37691695845145,-3.66511,0.913002,10260.511,5e+07,1
"277","DQ080064_Fa_2003_VelocLon",13.6902961153584,0.00133427039992048,-17.7100895689847,-24.1288,-11.5152,10260.511,5e+07,1
"278","DQ080065_Qq_2003_VelocLat",4.80766346472891,0.000468559847041625,-1.38599268836703,-3.6761,0.929395,10260.511,5e+07,1
"279","DQ080065_Qq_2003_VelocLon",13.6296160231559,0.00132835645545879,-17.7372266562986,-23.9523,-11.4005,10260.511,5e+07,1
"280","DQ080066_Px_2003_VelocLat",4.79414427388006,0.00046724225273771,-1.3880972258387,-3.72329,0.775355,10260.511,5e+07,1
"281","DQ080066_Px_2003_VelocLon",14.2563927835637,0.00138944276591718,-17.7084964341257,-23.9036,-11.2778,10260.511,5e+07,1
"282","DQ080067_Bvs_2003_VelocLat",4.83932517481671,0.000471645630009725,-1.39342473373739,-3.72875,0.88926,10260.511,5e+07,1
"283","DQ080067_Bvs_2003_VelocLon",13.2710653383088,0.00129341173537155,-17.7179915596534,-24.0113,-11.4056,10260.511,5e+07,1
"284","DQ080068_Ah_2003_VelocLat",4.68035728203307,0.000456152454983292,-1.40985388648967,-3.78067,0.794962,10260.511,5e+07,1
"285","DQ080068_Ah_2003_VelocLon",13.6455865723469,0.0013299129616787,-17.7104079071317,-23.9637,-11.2238,10260.511,5e+07,1
"286","DQ080069_Ec_2003_VelocLat",34.6419670259432,0.00337624188755737,-8.21974526771828,-11.6432,-4.44816,10260.511,5e+07,1
"287","DQ080069_Ec_2003_VelocLon",234.958126351311,0.0228992616792,1.41150766113086,-5.55116,8.22419,10260.511,5e+07,1
"288","DQ080070_Qq_2003_VelocLat",13.9225734563492,0.00135690838948949,-3.74877316458565,-6.81154,-0.925128,10260.511,5e+07,1
"289","DQ080070_Qq_2003_VelocLon",28.2315270479087,0.00275147378604328,-10.8033517451677,-17.2667,-4.60681,10260.511,5e+07,1
"290","DQ080071_Ec_2002_VelocLat",1348.16573492392,0.131393625027439,-3.14164238308065,-7.02545,0.53235,10260.511,5e+07,1
"291","DQ080071_Ec_2002_VelocLon",1567.35266892829,0.15275581001066,-1.04666210080515,-8.37927,5.74143,10260.511,5e+07,1
"292","DQ080072_Dc_2001_VelocLat",311.788803668857,0.0303872588479129,-8.8138269222395,-12.9957,-4.48297,10260.511,5e+07,1
"293","DQ080072_Dc_2001_VelocLon",1230.72867906633,0.119948088264447,-1.86636675415863,-7.94168,5.42584,10260.511,5e+07,1
"294","DQ164186_Cb_2002_VelocLat",299.28492308003,0.0291686177306403,0.332231565931571,-2.92893,3.7228,10260.511,5e+07,1
"295","DQ164186_Cb_2002_VelocLon",274.138276187485,0.0267177995508689,7.31968354060875,0.775762,13.752,10260.511,5e+07,1
"296","DQ164187_Cb_2002_VelocLat",3388.55849152855,0.330252410579604,2.11942631900467,-1.30823,5.45036,10260.511,5e+07,1
"297","DQ164187_Cb_2002_VelocLon",3800.12324155624,0.370363936216845,1.08788610195756,-5.05887,7.91363,10260.511,5e+07,1
"298","DQ164188_Cb_2003_VelocLat",3689.41557661629,0.359574252843381,-0.168232001225061,-4.23827,4.17069,10260.511,5e+07,1
"299","DQ164188_Cb_2003_VelocLon",3542.74540614122,0.345279626535288,0.010081356014219,-7.56259,8.37196,10260.511,5e+07,1
"300","DQ164189_Cb_2003_VelocLat",264.091914750031,0.0257386707884267,1.82077534426527,-1.79128,5.50933,10260.511,5e+07,1
"301","DQ164189_Cb_2003_VelocLon",544.842333042767,0.0531008965384636,3.82247901835814,-2.67673,11.3795,10260.511,5e+07,1
"302","DQ164190_Cb_2003_VelocLat",2674.92331978961,0.260700789638022,0.208366884621062,-2.83047,3.47885,10260.511,5e+07,1
"303","DQ164190_Cb_2003_VelocLon",1235.46156691798,0.120409360403003,2.54001966389158,-3.2005,9.08651,10260.511,5e+07,1
"304","DQ164191_Cb_2003_VelocLat",72.5448992326825,0.007070300809841,2.7448177053357,-1.41712,7.30072,10260.511,5e+07,1
"305","DQ164191_Cb_2003_VelocLon",124.807677970301,0.0121638852071111,4.38593609671184,-3.11003,12.0185,10260.511,5e+07,1
"306","DQ164192_Cb_2003_VelocLat",2619.31655386393,0.255281296795445,-0.0208679267450344,-3.71184,3.39417,10260.511,5e+07,1
"307","DQ164192_Cb_2003_VelocLon",3406.18569756066,0.331970376286391,1.81940006635881,-4.7774,8.49363,10260.511,5e+07,1
"308","DQ164193_Cb_2002_VelocLat",272.143609717005,0.0265233972963925,5.25751409568985,1.53169,9.14615,10260.511,5e+07,1
"309","DQ164193_Cb_2002_VelocLon",243.972449877226,0.023777806960806,9.15333445229949,1.32951,16.4161,10260.511,5e+07,1
